,HomeTeam,AwayTeam,HTGD,ATGD,HTP,ATP,HM1_D,HM1_L,HM1_W,HM2_D,HM2_L,HM2_W,HM3_D,HM3_L,HM3_W,AM1_D,AM1_L,AM1_W,AM2_D,AM2_L,AM2_W,AM3_D,AM3_L,AM3_W,DiffFormPts,DiffLP,FTR
30,Man United,Bradford,0.5,0.25,1.25,1.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0.25,-16,H
31,Sunderland,West Ham,-0.5,-0.75,0.75,0.25,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0.5,-2,D
32,Tottenham,Everton,0.0,0.25,1.0,1.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0.0,-3,H
33,Charlton,Southampton,-0.25,-0.25,0.75,0.5,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0.25,3,D
34,Chelsea,Arsenal,0.0,0.75,1.0,1.5,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,-0.5,3,D
35,Coventry,Newcastle,0.0,0.25,1.5,1.5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0.0,3,A
36,Derby,Middlesbrough,-0.25,0.25,0.5,1.0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.5,4,D
37,Leicester,Ipswich,0.25,-0.25,1.25,1.0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0.25,-10,H
38,Liverpool,Aston Villa,-0.25,-0.5,1.0,0.5,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.5,-2,H
39,Bradford,Arsenal,0.25,0.75,1.0,1.5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,-0.5,15,D
40,Coventry,Leeds,-0.4,0.4,1.2,1.4,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0.4,11,D
41,Ipswich,Aston Villa,-0.4,-0.2,0.8,1.0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0.0,12,A
42,Leicester,Southampton,0.4,-0.2,1.6,0.6,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1.0,-7,H
43,Liverpool,Man City,0.2,-0.4,1.4,1.2,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,-0.4,-14,H
44,Man United,Sunderland,1.6,-0.4,1.6,0.8,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.8,-6,H
45,Middlesbrough,Everton,0.2,0.0,1.0,0.8,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.4,-1,A
46,Newcastle,Chelsea,0.6,0.0,1.8,1.0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1.4,6,D
47,Derby,Charlton,-0.2,-0.2,0.6,0.8,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2,-2,D
48,Tottenham,West Ham,0.2,-0.6,1.4,0.4,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0.4,1,H
49,Arsenal,Coventry,0.6,-0.4,1.4,1.2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.2,-12,H
50,Aston Villa,Bradford,0.166666667,-0.833333333,1.333333333,0.833333333,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0.666666667,-11,H
51,Charlton,Tottenham,-0.166666667,0.333333333,0.833333333,1.6666666669999999,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,-0.666666667,8,H
52,Everton,Man United,0.166666667,1.8333333330000001,1.166666667,1.8333333330000001,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,-0.5,12,A
53,Leeds,Ipswich,0.166666667,-0.5,1.166666667,0.666666667,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,-0.333333333,-15,A
54,Southampton,Newcastle,-0.333333333,0.5,0.5,1.6666666669999999,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-0.833333333,4,H
55,Sunderland,Derby,-0.833333333,-0.166666667,0.666666667,0.666666667,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,-0.333333333,-9,H
56,Chelsea,Leicester,0.0,0.5,1.0,1.8333333330000001,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,-0.666666667,-3,A
57,Man City,Middlesbrough,-0.5,0.0,1.0,0.833333333,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.333333333,6,D
58,West Ham,Liverpool,-0.666666667,0.333333333,0.333333333,1.6666666669999999,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,-0.833333333,5,D
59,Bradford,Southampton,-0.833333333,-0.333333333,0.833333333,0.5,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.0,2,A
60,Coventry,West Ham,-0.428571429,-0.571428571,1.0,0.428571429,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,-0.14285714300000002,5,A
61,Derby,Leeds,-0.28571428600000004,0.14285714300000002,0.571428571,1.142857143,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0.0,13,D
62,Ipswich,Arsenal,-0.28571428600000004,0.571428571,1.0,1.571428571,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,-0.28571428600000004,16,D
63,Liverpool,Sunderland,0.28571428600000004,-0.571428571,1.571428571,1.0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0.428571429,-3,D
64,Man United,Chelsea,1.857142857,-0.28571428600000004,2.0,0.857142857,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1.0,-4,D
65,Middlesbrough,Aston Villa,0.0,0.14285714300000002,0.857142857,1.285714286,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-0.7142857140000001,6,D
66,Newcastle,Charlton,0.14285714300000002,0.0,1.428571429,1.142857143,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,-0.14285714300000002,-7,A
67,Tottenham,Man City,0.14285714300000002,-0.428571429,1.428571429,1.0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0.28571428600000004,-8,D
68,Leicester,Everton,0.7142857140000001,-0.14285714300000002,2.0,1.0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0.857142857,-5,D
69,Aston Villa,Derby,0.14285714300000002,-0.28571428600000004,1.285714286,0.571428571,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0.7142857140000001,-10,H
70,Charlton,Coventry,0.125,-0.75,1.375,0.875,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0.75,4,D
71,Everton,Ipswich,-0.125,-0.25,1.0,1.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0.0,-5,A
72,Leeds,Tottenham,0.25,0.125,1.375,1.375,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.0,-7,H
73,Man City,Newcastle,-0.375,0.0,1.0,1.25,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.125,7,A
74,Southampton,Middlesbrough,0.125,0.0,1.125,0.875,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0.5,3,A
75,West Ham,Bradford,-0.125,-1.0,0.75,0.625,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.375,-8,D
76,Arsenal,Man United,0.5,1.625,1.5,1.875,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,-0.25,1,H
77,Chelsea,Liverpool,-0.25,0.25,0.875,1.5,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,-0.375,1,H
78,Sunderland,Leicester,-0.5,0.625,1.0,1.875,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,-0.375,-1,D
79,Arsenal,Aston Villa,0.5,0.5,1.5,1.5,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,-0.25,-4,H
80,Coventry,Tottenham,-0.666666667,0.0,0.8888888890000001,1.222222222,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0.0,4,H
81,Everton,Southampton,-0.444444444,-0.111111111,0.8888888890000001,1.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,-0.5555555560000001,-2,D
82,Ipswich,West Ham,0.111111111,-0.111111111,1.222222222,0.7777777779999999,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.222222222,9,D
83,Leeds,Charlton,0.444444444,0.111111111,1.5555555559999998,1.333333333,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0.0,-15,H
84,Leicester,Man United,0.5555555560000001,1.333333333,1.7777777780000001,1.6666666669999999,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.111111111,7,A
85,Man City,Bradford,-0.444444444,-0.8888888890000001,0.8888888890000001,0.666666667,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.111111111,1,H
86,Sunderland,Chelsea,-0.444444444,0.111111111,1.0,1.111111111,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.111111111,2,H
87,Derby,Liverpool,-0.5555555560000001,-0.111111111,0.5555555560000001,1.333333333,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-0.111111111,12,A
88,Middlesbrough,Newcastle,0.222222222,0.111111111,1.111111111,1.4444444440000002,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0.222222222,1,A
89,Bradford,Ipswich,-0.8888888890000001,0.111111111,0.666666667,1.222222222,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,-0.666666667,-1,A
90,Charlton,Middlesbrough,-0.1,0.0,1.2,1.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,6,H
91,Chelsea,Coventry,0.0,-0.5,1.0,1.1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0.0,-9,H
92,Liverpool,Leicester,0.3,0.2,1.5,1.6,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.2,-4,H
93,Man United,Leeds,1.5,0.1,1.8,1.4,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-0.2,-2,H
94,Newcastle,Everton,0.3,-0.4,1.6,0.9,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0.4,-2,A
95,Tottenham,Derby,-0.1,-0.9,1.1,0.5,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.0,-6,H
96,West Ham,Arsenal,-0.1,0.6,0.8,1.8,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,-0.2,7,A
97,Aston Villa,Sunderland,0.3,-0.3,1.3,1.2,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,-0.1,-1,D
98,Southampton,Man City,-0.1,-0.2,1.0,1.1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0.0,-3,A
99,Arsenal,Man City,0.6,-0.2,1.8,1.1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0.3,-16,H
100,Aston Villa,Charlton,0.363636364,0.0,1.454545455,1.363636364,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-12,H
101,Chelsea,Tottenham,0.454545455,0.090909091,1.181818182,1.2727272729999999,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.272727273,-5,H
102,Ipswich,Middlesbrough,0.272727273,-0.090909091,1.363636364,0.9090909090000001,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.363636364,6,H
103,Leicester,Derby,0.090909091,-1.0,1.454545455,0.454545455,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.090909091,-8,H
104,Man United,Southampton,1.636363636,-0.272727273,1.9090909090000001,0.9090909090000001,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.454545455,-14,H
105,Sunderland,Coventry,-0.272727273,-0.9090909090000001,1.181818182,1.0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0.090909091,-7,H
106,West Ham,Newcastle,-0.181818182,0.181818182,0.727272727,1.454545455,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,-0.363636364,-2,H
107,Bradford,Leeds,-1.0909090909999999,0.090909091,0.545454545,1.363636364,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,-0.272727273,14,D
108,Liverpool,Everton,0.363636364,-0.272727273,1.636363636,1.0909090909999999,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0.181818182,-9,H
109,Charlton,Bradford,0.0,-1.0909090909999999,1.363636364,0.545454545,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.272727273,1,H
110,Coventry,Man United,-0.916666667,1.9166666669999999,0.916666667,2.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.5,13,A
111,Leeds,Liverpool,0.166666667,0.5,1.5,1.75,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.41666666700000005,-1,H
112,Man City,Leicester,-0.41666666700000005,0.166666667,1.166666667,1.5833333330000001,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0.25,10,A
113,Middlesbrough,Arsenal,-0.166666667,1.0,0.833333333,2.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.75,10,A
114,Newcastle,Ipswich,0.083333333,0.333333333,1.333333333,1.5,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,-0.333333333,-7,H
115,Southampton,Chelsea,-0.666666667,0.666666667,0.833333333,1.333333333,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,-0.41666666700000005,10,H
116,Tottenham,Sunderland,-0.166666667,-0.166666667,1.166666667,1.333333333,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,-0.333333333,3,H
117,Everton,Aston Villa,-0.41666666700000005,0.41666666700000005,1.0,1.5833333330000001,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,-0.25,7,A
118,Derby,West Ham,-1.0,-0.083333333,0.41666666700000005,0.916666667,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,-0.333333333,7,D
119,Arsenal,Derby,1.0,-1.0,2.0,0.41666666700000005,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0.75,-14,D
120,Aston Villa,Tottenham,0.538461538,-0.076923077,1.692307692,1.307692308,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.23076923100000002,-4,H
121,Bradford,Everton,-1.076923077,-0.46153846200000004,0.538461538,0.923076923,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,-0.153846154,4,A
122,Ipswich,Charlton,0.23076923100000002,0.076923077,1.384615385,1.384615385,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.0,0,H
123,Leicester,Newcastle,0.23076923100000002,0.153846154,1.692307692,1.4615384619999998,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0.23076923100000002,-3,D
124,Man United,Middlesbrough,1.846153846,-0.23076923100000002,2.076923077,0.7692307690000001,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0.692307692,-11,H
125,Sunderland,Southampton,-0.23076923100000002,-0.538461538,1.230769231,1.0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0.076923077,-8,D
126,West Ham,Man City,-0.076923077,-0.46153846200000004,0.923076923,1.076923077,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.076923077,-9,H
127,Chelsea,Leeds,0.538461538,0.153846154,1.230769231,1.4615384619999998,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0.076923077,2,D
128,Liverpool,Coventry,0.384615385,-0.923076923,1.615384615,0.846153846,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0.46153846200000004,-10,H
129,Charlton,Chelsea,0.076923077,0.538461538,1.384615385,1.230769231,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0.0,13,H
130,Derby,Bradford,-0.857142857,-1.071428571,0.5,0.5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.071428571,-1,H
131,Everton,Arsenal,-0.35714285700000004,0.9285714290000001,1.071428571,2.0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,-0.28571428600000004,11,H
132,Leeds,West Ham,0.071428571,0.14285714300000002,1.357142857,1.071428571,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,-0.214285714,-6,A
133,Man City,Man United,-0.642857143,1.785714286,1.0,2.142857143,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.642857143,17,A
134,Middlesbrough,Leicester,-0.28571428600000004,0.214285714,0.7142857140000001,1.642857143,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,-0.5,4,A
135,Newcastle,Sunderland,0.14285714300000002,-0.214285714,1.428571429,1.214285714,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0.0,4,A
136,Southampton,Aston Villa,-0.5,0.35714285700000004,1.0,1.571428571,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,-0.14285714300000002,9,H
137,Tottenham,Liverpool,-0.214285714,0.571428571,1.214285714,1.714285714,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,-0.214285714,6,H
138,Coventry,Ipswich,-1.071428571,0.35714285700000004,0.7857142859999999,1.5,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,-0.428571429,-4,A
139,Charlton,Sunderland,-0.071428571,-0.214285714,1.285714286,1.214285714,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,-0.071428571,11,A
140,Coventry,Aston Villa,-1.066666667,0.333333333,0.7333333329999999,1.533333333,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,-0.26666666699999997,8,D
141,Derby,Man United,-0.666666667,1.733333333,0.666666667,2.2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,-0.26666666699999997,15,A
142,Everton,Chelsea,-0.2,0.333333333,1.2,1.133333333,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.333333333,8,H
143,Man City,Ipswich,-0.666666667,0.4,0.933333333,1.6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,-0.4,0,A
144,Middlesbrough,Bradford,-0.46666666700000003,-1.133333333,0.666666667,0.46666666700000003,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,-5,D
145,Southampton,West Ham,-0.333333333,0.2,1.133333333,1.2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0.0,6,A
146,Tottenham,Leicester,-0.133333333,0.4,1.333333333,1.733333333,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,-0.066666667,2,H
147,Leeds,Arsenal,0.133333333,0.7333333329999999,1.466666667,1.8666666669999998,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0,1,H
148,Newcastle,Liverpool,0.066666667,0.46666666700000003,1.333333333,1.6,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.066666667,7,H
149,Arsenal,Southampton,0.7333333329999999,-0.333333333,1.8666666669999998,1.133333333,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,-0.2,-13,H
150,Aston Villa,Newcastle,0.3125,0.125,1.5,1.4375,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,-0.125,-5,D
151,Bradford,Coventry,-1.0625,-1.0,0.5,0.75,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0.0,3,H
152,Ipswich,Derby,0.4375,-0.8125,1.6875,0.625,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0.3125,2,A
153,Leicester,Leeds,0.1875,0.0,1.625,1.375,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0.0625,5,H
154,Liverpool,Charlton,0.375,0.0,1.5,1.3125,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0,-14,H
155,Man United,Tottenham,1.8125,0.0625,2.25,1.4375,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0.1875,-9,H
156,West Ham,Middlesbrough,0.25,-0.4375,1.3125,0.6875,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0.5,-3,H
157,Chelsea,Man City,0.25,-0.6875,1.0625,0.875,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0625,-13,H
158,Sunderland,Everton,-0.0625,-0.125,1.4375,1.3125,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,-0.125,-6,H
159,Arsenal,Newcastle,0.625,0.125,1.75,1.4375,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,-0.1875,-9,H
160,Bradford,Tottenham,-0.9411764709999999,-0.058823529000000006,0.647058824,1.3529411759999999,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,-0.117647059,7,D
161,Charlton,Man United,-0.176470588,1.8235294119999998,1.2352941179999999,2.2941176469999998,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.352941176,17,D
162,Chelsea,Derby,0.294117647,-0.705882353,1.176470588,0.764705882,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,-0.176470588,-11,H
163,Man City,Everton,-0.705882353,-0.235294118,0.8235294120000001,1.2352941179999999,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-0.352941176,5,H
164,Southampton,Leeds,-0.41176470600000004,-0.058823529000000006,1.0,1.294117647,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0,12,H
165,Sunderland,Middlesbrough,0.058823529000000006,-0.470588235,1.529411765,0.647058824,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0.470588235,-5,H
166,West Ham,Aston Villa,0.294117647,0.294117647,1.411764706,1.470588235,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0.352941176,3,D
167,Coventry,Leicester,-1.0,0.294117647,0.705882353,1.705882353,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,-0.294117647,6,H
168,Liverpool,Ipswich,0.529411765,0.352941176,1.588235294,1.588235294,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-0.176470588,-14,A
169,Aston Villa,Man City,0.294117647,-0.705882353,1.470588235,0.8235294120000001,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.176470588,-12,D
170,Derby,Coventry,-0.833333333,-0.8888888890000001,0.7222222220000001,0.833333333,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,-0.055555556,2,H
171,Everton,West Ham,-0.5,0.27777777800000003,1.166666667,1.388888889,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,-0.222222222,4,D
172,Ipswich,Southampton,0.38888888899999996,-0.333333333,1.6666666669999999,1.111111111,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.166666667,3,H
173,Leeds,Sunderland,0.055555556,0.111111111,1.388888889,1.611111111,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.333333333,-4,H
174,Leicester,Charlton,0.222222222,-0.166666667,1.611111111,1.222222222,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.111111111,-10,H
175,Middlesbrough,Chelsea,-0.5,0.444444444,0.611111111,1.277777778,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,-0.27777777800000003,7,H
176,Newcastle,Bradford,-0.166666667,-0.8888888890000001,1.333333333,0.666666667,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,-0.055555556,-6,H
177,Man United,Liverpool,1.7222222219999999,0.444444444,2.222222222,1.5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0.222222222,-3,A
178,Tottenham,Arsenal,-0.055555556,0.8888888890000001,1.333333333,1.888888889,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,-0.111111111,8,D
179,Coventry,Southampton,-0.8888888890000001,-0.333333333,0.833333333,1.111111111,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0.055555556,-1,D
180,Charlton,Everton,-0.263157895,-0.473684211,1.1578947370000001,1.1578947370000001,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.0,5,H
181,Chelsea,Bradford,0.36842105299999994,-0.894736842,1.210526316,0.6315789470000001,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0.10526315800000001,-12,H
182,Derby,Newcastle,-0.736842105,-0.10526315800000001,0.842105263,1.4210526319999999,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0.10526315800000001,5,H
183,Leeds,Aston Villa,0.0,0.31578947399999996,1.315789474,1.526315789,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,-0.10526315800000001,-3,A
184,Leicester,West Ham,0.31578947399999996,0.263157895,1.684210526,1.368421053,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0.052631579000000005,-1,H
185,Liverpool,Arsenal,0.473684211,0.842105263,1.5789473680000001,1.842105263,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,-0.052631579000000005,2,H
186,Man United,Ipswich,1.5789473680000001,0.473684211,2.105263158,1.736842105,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,-0.10526315800000001,-17,H
187,Sunderland,Man City,0.0,-0.36842105299999994,1.526315789,0.947368421,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0.10526315800000001,-11,H
188,Tottenham,Middlesbrough,-0.052631579000000005,-0.42105263200000004,1.315789474,0.736842105,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,-0.052631579000000005,-2,D
189,Arsenal,Leicester,0.842105263,0.31578947399999996,1.842105263,1.684210526,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.052631579000000005,-6,H
190,Aston Villa,Man United,0.25,1.6,1.45,2.15,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0.0,5,A
191,Bradford,Sunderland,-1.0,0.05,0.6,1.6,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,-0.25,10,A
192,Everton,Coventry,-0.5,-0.85,1.1,0.8,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,-0.15,-1,A
193,Ipswich,Chelsea,0.35,0.5,1.65,1.3,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.0,13,D
194,Man City,Derby,-0.4,-0.6,0.9,0.95,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,-0.1,2,D
195,Middlesbrough,Liverpool,-0.4,0.65,0.75,1.65,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,-0.1,8,H
196,Newcastle,Leeds,-0.2,-0.05,1.35,1.25,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.0,8,H
