,HomeTeam,AwayTeam,HTGD,ATGD,HTP,ATP,HM1_D,HM1_L,HM1_W,HM2_D,HM2_L,HM2_W,HM3_D,HM3_L,HM3_W,AM1_D,AM1_L,AM1_W,AM2_D,AM2_L,AM2_W,AM3_D,AM3_L,AM3_W,DiffFormPts,DiffLP,FTR
5757,Liverpool,Norwich,-0.5,-0.166666667,1.166666667,1.166666667,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,-0.5,-12,D
5758,Southampton,Man United,0.0,0.5,1.0,1.6666666669999999,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0.166666667,3,A
5759,Tottenham,Crystal Palace,0.0,0.333333333,1.0,1.5,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,-0.166666667,-5,H
5760,Leicester,Arsenal,0.571428571,0.0,1.714285714,1.428571429,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,-0.14285714300000002,11,A
5761,Liverpool,Aston Villa,-0.428571429,-0.428571429,1.142857143,0.571428571,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0.0,-11,H
5762,Man United,Sunderland,0.571428571,-1.0,1.857142857,0.28571428600000004,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0.7142857140000001,-12,H
5763,Newcastle,Chelsea,-0.857142857,-0.428571429,0.28571428600000004,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,-0.428571429,14,D
5764,Southampton,Swansea,-0.14285714300000002,0.28571428600000004,0.857142857,1.285714286,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0.0,-1,H
5765,Stoke,Bournemouth,-0.571428571,-0.14285714300000002,0.428571429,1.0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,-0.428571429,-9,H
5766,Tottenham,Man City,0.14285714300000002,1.428571429,1.285714286,2.142857143,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0.14285714300000002,3,H
5767,West Ham,Norwich,0.857142857,-0.14285714300000002,1.714285714,1.142857143,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0.7142857140000001,-6,D
5768,Watford,Crystal Palace,0.0,0.14285714300000002,1.285714286,1.285714286,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.428571429,8,A
5769,West Brom,Everton,-0.28571428600000004,0.428571429,1.142857143,1.285714286,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.28571428600000004,2,A
5770,Aston Villa,Stoke,-0.5,-0.375,0.5,0.75,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,-0.5,8,A
5771,Bournemouth,Watford,-0.25,-0.125,0.875,1.125,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,-0.375,0,D
5772,Chelsea,Southampton,-0.375,0.125,1.0,1.125,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-6,A
5773,Crystal Palace,West Brom,0.25,-0.375,1.5,1.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,-0.125,-3,H
5774,Man City,Newcastle,0.875,-0.75,1.875,0.375,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0.25,-13,H
5775,Norwich,Leicester,-0.125,0.125,1.125,1.5,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.125,4,A
5776,Sunderland,West Ham,-1.25,0.75,0.25,1.625,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,-0.875,4,D
5777,Arsenal,Man United,0.375,0.875,1.625,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.375,-1,H
5778,Everton,Liverpool,0.5,-0.25,1.5,1.375,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.375,5,D
5779,Swansea,Tottenham,0.0,0.5,1.125,1.5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-1.0,3,D
