,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
5906,Southampton,Watford,2,0,H,26,25,24,22,1.142857143,1.380952381,L,L,W,L,L,D,7,18,21,-11,0.095238095,0.142857143,LLW,LLD,3,1,0.095238095
5907,Stoke,Norwich,3,1,H,21,23,21,32,1.380952381,1.095238095,L,W,W,W,W,L,9,18,21,-9,0,-0.428571429,LWW,WWL,6,6,0
5908,Swansea,Sunderland,2,4,A,17,22,26,39,0.904761905,0.714285714,L,D,W,W,L,L,8,16,21,-8,-0.428571429,-0.80952381,LDW,WLL,4,3,0.047619048
5909,Tottenham,Leicester,0,1,A,34,37,16,25,1.714285714,1.904761905,D,W,W,D,D,L,5,14,21,-9,0.857142857,0.571428571,DWW,DDL,7,2,0.238095238
5910,Aston Villa,Leicester,1,1,D,17,38,37,25,0.5,1.954545455,W,L,L,W,D,D,17,14,22,3,-0.909090909,0.590909091,WLL,WDD,3,5,-0.090909091
5911,Bournemouth,Norwich,3,0,H,23,24,37,35,0.954545455,1.045454545,L,D,L,L,W,W,18,18,22,0,-0.636363636,-0.5,LDL,LWW,1,6,-0.227272727
5912,Chelsea,Everton,3,3,D,28,36,31,29,1.090909091,1.272727273,D,W,D,D,D,L,1,11,22,-10,-0.136363636,0.318181818,DWD,DDL,5,2,0.136363636
5913,Man City,Crystal Palace,4,0,H,39,23,21,20,1.818181818,1.409090909,D,W,D,L,L,D,2,10,22,-8,0.818181818,0.136363636,DWD,LLD,5,1,0.181818182
5914,Newcastle,West Ham,2,1,H,22,33,38,24,0.818181818,1.590909091,D,L,L,W,W,W,15,12,22,3,-0.727272727,0.409090909,DLL,WWW,1,9,-0.363636364
5915,Southampton,West Brom,3,0,H,28,22,24,27,1.227272727,1.227272727,W,L,L,D,W,W,7,13,22,-6,0.181818182,-0.227272727,WLL,DWW,3,7,-0.181818182
5916,Tottenham,Sunderland,4,1,H,34,26,17,41,1.636363636,0.818181818,L,D,W,W,W,L,5,16,22,-11,0.772727273,-0.681818182,LDW,WWL,4,6,-0.090909091
5917,Liverpool,Man United,0,1,A,25,27,27,20,1.409090909,1.545454545,D,L,W,D,W,D,6,4,22,2,-0.090909091,0.318181818,DLW,DWD,4,5,-0.045454545
5918,Stoke,Arsenal,0,0,D,24,37,22,21,1.454545455,1.954545455,W,L,W,D,W,W,9,3,22,6,0.090909091,0.727272727,WLW,DWW,6,7,-0.045454545
5919,Swansea,Watford,1,0,H,19,25,30,24,0.863636364,1.318181818,L,L,D,L,L,L,8,18,22,-10,-0.5,0.045454545,LLD,LLL,1,0,0.045454545
5920,Crystal Palace,Tottenham,1,3,A,23,38,24,18,1.347826087,1.695652174,L,L,L,W,L,D,10,5,23,5,-0.043478261,0.869565217,LLL,WLD,0,4,-0.173913043
5921,Leicester,Stoke,3,0,H,39,24,26,22,1.913043478,1.434782609,D,W,D,D,W,L,14,9,23,5,0.565217391,0.086956522,DWD,DWL,5,4,0.043478261
5922,Man United,Southampton,0,1,A,28,31,20,24,1.608695652,1.304347826,W,D,W,W,W,L,4,7,23,-3,0.347826087,0.304347826,WDW,WWL,7,6,0.043478261
5923,Norwich,Liverpool,4,5,A,24,25,38,28,1,1.347826087,L,L,W,L,D,L,18,6,23,12,-0.608695652,-0.130434783,LLW,LDL,3,1,0.086956522
5924,Sunderland,Bournemouth,1,1,D,27,26,45,37,0.782608696,1.043478261,L,W,W,W,L,D,16,18,23,-2,-0.782608696,-0.47826087,LWW,WLD,6,4,0.086956522
5925,Watford,Newcastle,2,1,H,25,24,25,39,1.260869565,0.913043478,L,L,L,W,D,L,18,15,23,3,0,-0.652173913,LLL,WDL,0,4,-0.173913043
5926,West Brom,Aston Villa,0,0,D,22,18,30,38,1.173913043,0.52173913,L,D,W,D,W,L,13,17,23,-4,-0.347826087,-0.869565217,LDW,DWL,4,4,0
5927,West Ham,Man City,2,2,D,34,43,26,21,1.52173913,1.869565217,L,W,W,W,D,W,12,2,23,10,0.347826087,0.956521739,LWW,WDW,6,7,-0.043478261
5928,Arsenal,Chelsea,0,1,A,37,31,21,34,1.913043478,1.086956522,D,D,W,D,D,W,3,1,23,2,0.695652174,-0.130434783,DDW,DDW,5,5,0
5929,Everton,Swansea,1,2,A,39,20,32,30,1.260869565,0.956521739,D,D,D,W,L,L,11,8,23,3,0.304347826,-0.434782609,DDD,WLL,3,3,0
5930,Arsenal,Southampton,0,0,D,37,32,22,24,1.833333333,1.375,L,D,D,W,W,W,3,7,24,-4,0.625,0.333333333,LDD,WWW,2,9,-0.291666667
5931,Crystal Palace,Bournemouth,1,2,A,24,27,27,38,1.291666667,1.041666667,L,L,L,D,W,L,10,18,24,-8,-0.125,-0.458333333,LLL,DWL,0,4,-0.166666667
5932,Leicester,Liverpool,2,0,H,42,30,26,32,1.958333333,1.416666667,W,D,W,W,L,D,14,6,24,8,0.666666667,-0.083333333,WDW,WLD,7,4,0.125
5933,Man United,Stoke,3,0,H,28,24,21,25,1.541666667,1.375,L,W,D,L,D,W,4,9,24,-5,0.291666667,-0.041666667,LWD,LDW,4,4,0
5934,Norwich,Tottenham,0,3,A,28,41,43,19,0.958333333,1.75,L,L,L,W,W,L,18,5,24,13,-0.625,0.916666667,LLL,WWL,0,6,-0.25
5935,Sunderland,Man City,0,1,A,28,45,46,23,0.791666667,1.833333333,D,L,W,D,W,D,16,2,24,14,-0.75,0.916666667,DLW,DWD,4,5,-0.041666667
5936,West Brom,Swansea,1,1,D,22,22,30,31,1.166666667,1.041666667,D,L,D,W,W,L,13,8,24,5,-0.333333333,-0.375,DLD,WWL,2,6,-0.166666667
5937,West Ham,Aston Villa,2,0,H,36,18,28,38,1.5,0.541666667,D,L,W,D,D,W,12,17,24,-5,0.333333333,-0.833333333,DLW,DDW,4,5,-0.041666667
5938,Everton,Newcastle,3,0,H,40,25,34,41,1.208333333,0.875,L,D,D,L,W,D,11,15,24,-4,0.25,-0.666666667,LDD,LWD,2,4,-0.083333333
5939,Watford,Chelsea,0,0,D,27,32,26,34,1.333333333,1.166666667,W,L,L,W,D,D,18,1,24,17,0.041666667,-0.083333333,WLL,WDD,3,5,-0.083333333
5940,Aston Villa,Norwich,2,0,H,18,28,40,46,0.52,0.92,L,D,D,L,L,L,17,18,25,-1,-0.88,-0.72,LDD,LLL,2,0,0.08
5941,Liverpool,Sunderland,2,2,D,30,28,34,47,1.36,0.76,L,W,L,L,D,L,6,16,25,-10,-0.16,-0.76,LWL,LDL,3,1,0.08
5942,Man City,Leicester,1,3,A,46,44,23,26,1.88,2,W,D,W,W,W,D,2,14,25,-12,0.92,0.72,WDW,WWD,7,7,0
5943,Newcastle,West Brom,1,0,H,25,23,44,31,0.84,1.16,L,L,W,D,D,L,15,13,25,2,-0.76,-0.32,LLW,DDL,3,2,0.04
5944,Southampton,West Ham,1,0,H,32,38,24,28,1.36,1.56,D,W,W,W,D,L,7,12,25,-5,0.32,0.4,DWW,WDL,7,4,0.12
5945,Stoke,Everton,0,3,A,24,43,28,34,1.32,1.28,L,L,D,W,L,D,9,11,25,-2,-0.16,0.36,LLD,WLD,1,4,-0.12
5946,Swansea,Crystal Palace,1,1,D,23,25,32,29,1.04,1.24,D,W,W,L,L,L,8,10,25,-2,-0.36,-0.16,DWW,LLL,7,0,0.28
5947,Tottenham,Watford,1,0,H,44,27,19,26,1.8,1.32,W,W,W,D,W,L,5,18,25,-13,1,0.04,WWW,DWL,9,4,0.2
5948,Bournemouth,Arsenal,0,2,A,29,37,39,22,1.12,1.8,W,D,W,D,L,D,18,3,25,15,-0.4,0.6,WDW,DLD,7,2,0.2
5949,Chelsea,Man United,1,1,D,32,31,34,21,1.16,1.6,D,W,D,W,L,W,1,4,25,-3,-0.08,0.4,DWD,WLW,5,6,-0.04
5950,Bournemouth,Stoke,1,3,A,29,24,41,31,1.076923077,1.269230769,L,W,D,L,L,L,18,9,26,9,-0.461538462,-0.269230769,LWD,LLL,4,0,0.153846154
5951,Chelsea,Newcastle,5,1,H,33,26,35,44,1.153846154,0.923076923,D,D,W,W,L,L,1,15,26,-14,-0.076923077,-0.692307692,DDW,WLL,5,3,0.076923077
5952,Crystal Palace,Watford,1,2,A,26,27,30,27,1.230769231,1.269230769,D,L,L,L,D,W,10,18,26,-8,-0.153846154,0,DLL,LDW,1,4,-0.115384615
5953,Everton,West Brom,0,1,A,46,23,34,32,1.346153846,1.115384615,W,W,L,L,D,D,11,13,26,-2,0.461538462,-0.346153846,WWL,LDD,6,2,0.153846154
5954,Norwich,West Ham,2,2,D,28,38,48,29,0.884615385,1.5,L,L,L,L,W,D,18,12,26,6,-0.769230769,0.346153846,LLL,LWD,0,4,-0.153846154
5955,Sunderland,Man United,2,1,H,30,32,49,22,0.769230769,1.576923077,D,L,D,D,W,L,16,4,26,12,-0.730769231,0.384615385,DLD,DWL,2,4,-0.076923077
5956,Swansea,Southampton,0,1,A,24,33,33,24,1.038461538,1.423076923,D,D,W,W,D,W,8,7,26,1,-0.346153846,0.346153846,DDW,WDW,5,7,-0.076923077
5957,Arsenal,Leicester,2,1,H,39,47,22,27,1.846153846,2.038461538,W,D,L,W,W,W,3,14,26,-11,0.653846154,0.769230769,WDL,WWW,4,9,-0.192307692
5958,Aston Villa,Liverpool,0,6,A,20,32,40,36,0.615384615,1.346153846,W,L,D,D,L,W,17,6,26,11,-0.769230769,-0.153846154,WLD,DLW,4,4,0
5959,Man City,Tottenham,1,2,A,47,45,26,19,1.807692308,1.846153846,L,W,D,W,W,W,2,5,26,-3,0.807692308,1,LWD,WWW,4,9,-0.192307692
5960,Leicester,Norwich,1,0,H,48,30,29,50,1.962962963,0.888888889,L,W,W,D,L,L,14,18,27,-4,0.703703704,-0.740740741,LWW,DLL,6,1,0.185185185
5961,Southampton,Chelsea,1,2,A,34,38,24,36,1.481481481,1.222222222,W,W,D,W,D,D,7,1,27,6,0.37037037,0.074074074,WWD,WDD,7,5,0.074074074
5962,Stoke,Aston Villa,2,1,H,27,20,32,46,1.333333333,0.592592593,W,L,L,L,W,L,9,17,27,-8,-0.185185185,-0.962962963,WLL,LWL,3,3,0
5963,Watford,Bournemouth,0,0,D,29,30,28,44,1.333333333,1.037037037,W,L,D,L,L,W,18,18,27,0,0.037037037,-0.518518519,WLD,LLW,4,3,0.037037037
5964,West Brom,Crystal Palace,3,2,H,24,27,32,32,1.185185185,1.185185185,W,L,D,L,D,L,13,10,27,3,-0.296296296,-0.185185185,WLD,LDL,4,1,0.111111111
5965,West Ham,Sunderland,1,0,H,40,32,31,50,1.481481481,0.851851852,D,L,W,W,D,L,12,16,27,-4,0.333333333,-0.666666667,DLW,WDL,4,4,0
5966,Tottenham,Swansea,2,1,H,47,24,20,34,1.888888889,1,W,W,W,L,D,D,5,8,27,-3,1,-0.37037037,WWW,LDD,9,2,0.259259259
5967,Man United,Arsenal,3,2,H,33,41,24,23,1.518518519,1.888888889,L,D,W,W,W,D,4,3,27,1,0.333333333,0.666666667,LDW,WWD,4,7,-0.111111111
5968,Aston Villa,Everton,1,3,A,20,46,46,35,0.592592593,1.296296296,L,W,L,L,W,W,17,11,27,6,-0.962962963,0.407407407,LWL,LWW,3,6,-0.111111111
5969,Bournemouth,Southampton,2,0,H,30,34,44,24,1.037037037,1.481481481,L,L,W,W,W,D,18,7,27,11,-0.518518519,0.37037037,LLW,WWD,3,7,-0.148148148
5970,Leicester,West Brom,2,2,D,49,27,29,34,2,1.25,W,L,W,W,W,L,14,13,28,1,0.714285714,-0.25,WLW,WWL,6,6,0
5971,Norwich,Chelsea,1,2,A,30,40,51,37,0.857142857,1.285714286,L,D,L,W,W,D,18,1,28,17,-0.75,0.107142857,LDL,WWD,1,7,-0.214285714
5972,Sunderland,Crystal Palace,2,2,D,32,29,51,35,0.821428571,1.142857143,L,W,D,L,L,D,16,10,28,6,-0.678571429,-0.214285714,LWD,LLD,4,1,0.107142857
5973,Arsenal,Swansea,1,2,A,43,25,26,36,1.821428571,0.964285714,L,W,W,L,L,D,3,8,28,-5,0.607142857,-0.392857143,LWW,LLD,6,1,0.178571429
5974,Liverpool,Man City,3,0,H,41,48,36,31,1.464285714,1.678571429,W,W,D,L,L,L,6,2,28,4,0.178571429,0.607142857,WWD,LLL,7,0,0.25
5975,Man United,Watford,1,0,H,36,29,26,28,1.571428571,1.321428571,W,L,D,D,W,L,4,18,28,-14,0.357142857,0.035714286,WLD,DWL,4,4,0
5976,Stoke,Newcastle,1,0,H,29,27,33,50,1.392857143,0.857142857,W,W,L,L,L,W,9,15,28,-6,-0.142857143,-0.821428571,WWL,LLW,6,3,0.107142857
5977,West Ham,Tottenham,1,0,H,41,49,31,21,1.535714286,1.928571429,W,D,L,W,W,W,12,5,28,7,0.357142857,1,WDL,WWW,4,9,-0.178571429
5978,Chelsea,Stoke,1,1,D,40,29,37,33,1.285714286,1.392857143,W,W,D,W,W,L,1,9,28,-8,0.107142857,-0.142857143,WWD,WWL,7,6,0.035714286
5979,Everton,West Ham,2,3,A,49,41,36,31,1.357142857,1.535714286,W,L,W,W,D,L,11,12,28,-1,0.464285714,0.357142857,WLW,WDL,6,4,0.071428571
5980,Man City,Aston Villa,4,0,H,52,22,31,51,1.724137931,0.551724138,W,L,L,L,L,L,2,17,29,-15,0.724137931,-1,WLL,LLL,3,0,0.103448276
5981,Newcastle,Bournemouth,1,3,A,28,32,53,44,0.827586207,1.103448276,L,L,L,W,D,L,15,18,29,-3,-0.862068966,-0.413793103,LLL,WDL,0,4,-0.137931034
5982,Southampton,Sunderland,1,1,D,35,34,28,53,1.379310345,0.827586207,L,L,W,D,L,W,7,16,29,-9,0.24137931,-0.655172414,LLW,DLW,3,4,-0.034482759
5983,Swansea,Norwich,1,0,H,27,31,37,53,1.034482759,0.827586207,W,L,L,L,L,D,8,18,29,-10,-0.344827586,-0.75862069,WLL,LLD,3,1,0.068965517
5984,Tottenham,Arsenal,2,2,D,49,44,22,28,1.862068966,1.75862069,L,W,W,L,L,W,5,3,29,2,0.931034483,0.551724138,LWW,LLW,6,3,0.103448276
5985,Watford,Leicester,0,1,A,29,51,29,31,1.275862069,1.965517241,L,D,W,D,W,L,18,14,29,4,0,0.689655172,LDW,DWL,4,4,0
5986,Crystal Palace,Liverpool,1,2,A,31,43,37,37,1.137931034,1.517241379,D,L,L,W,W,W,10,6,29,4,-0.206896552,0.206896552,DLL,WWW,1,9,-0.275862069
5987,West Brom,Man United,1,0,H,29,37,36,26,1.24137931,1.620689655,D,W,W,W,W,L,13,4,29,9,-0.24137931,0.379310345,DWW,WWL,7,6,0.034482759
5988,Bournemouth,Swansea,3,2,H,32,27,44,37,1.103448276,1.034482759,W,D,L,W,L,L,18,8,29,10,-0.413793103,-0.344827586,WDL,WLL,4,3,0.034482759
5989,Norwich,Man City,0,0,D,31,52,53,31,0.827586207,1.724137931,L,L,D,W,L,L,18,2,29,16,-0.75862069,0.724137931,LLD,WLL,1,3,-0.068965517
5990,Stoke,Southampton,1,2,A,31,36,34,29,1.433333333,1.366666667,D,W,W,D,L,L,9,7,30,2,-0.1,0.233333333,DWW,DLL,7,1,0.2
5991,Aston Villa,Tottenham,0,2,A,22,51,55,24,0.533333333,1.833333333,L,L,L,D,L,W,17,5,30,12,-1.1,0.9,LLL,DLW,0,4,-0.133333333
5992,Leicester,Newcastle,1,0,H,52,28,31,54,2,0.8,W,D,W,L,L,L,14,15,30,-1,0.7,-0.866666667,WDW,LLL,7,0,0.233333333
5993,Chelsea,West Ham,2,2,D,43,45,39,33,1.333333333,1.633333333,D,W,W,W,W,W,1,12,30,-11,0.133333333,0.4,DWW,WWW,7,9,-0.066666667
5994,Crystal Palace,Leicester,0,1,A,32,52,39,31,1.1,2,L,D,L,W,D,W,10,14,30,-4,-0.233333333,0.7,LDL,WDW,1,7,-0.2
5995,Everton,Arsenal,0,2,A,51,46,41,30,1.266666667,1.733333333,L,L,W,D,L,L,11,3,30,8,0.333333333,0.533333333,LLW,DLL,3,1,0.066666667
5996,Swansea,Aston Villa,1,0,H,28,22,37,55,1.1,0.533333333,W,W,L,L,L,L,8,17,30,-9,-0.3,-1.1,WWL,LLL,6,0,0.2
5997,Watford,Stoke,1,2,A,29,31,30,34,1.233333333,1.433333333,L,L,D,D,W,W,18,9,30,9,-0.033333333,-0.1,LLD,DWW,1,7,-0.2
