,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
0,Charlton,Man City,4,0,H,0,0,0,0,0,0,M,M,M,M,M,M,18,18,1,0,0,0,MMM,MMM,0,0,0
1,Chelsea,West Ham,4,2,H,0,0,0,0,0,0,M,M,M,M,M,M,5,9,1,-4,0,0,MMM,MMM,0,0,0
2,Coventry,Middlesbrough,1,3,A,0,0,0,0,0,0,M,M,M,M,M,M,14,12,1,2,0,0,MMM,MMM,0,0,0
3,Derby,Southampton,2,2,D,0,0,0,0,0,0,M,M,M,M,M,M,16,15,1,1,0,0,MMM,MMM,0,0,0
4,Leeds,Everton,2,0,H,0,0,0,0,0,0,M,M,M,M,M,M,3,13,1,-10,0,0,MMM,MMM,0,0,0
5,Leicester,Aston Villa,0,0,D,0,0,0,0,0,0,M,M,M,M,M,M,8,6,1,2,0,0,MMM,MMM,0,0,0
6,Liverpool,Bradford,1,0,H,0,0,0,0,0,0,M,M,M,M,M,M,4,17,1,-13,0,0,MMM,MMM,0,0,0
7,Sunderland,Arsenal,1,0,H,0,0,0,0,0,0,M,M,M,M,M,M,7,2,1,5,0,0,MMM,MMM,0,0,0
8,Tottenham,Ipswich,3,1,H,0,0,0,0,0,0,M,M,M,M,M,M,10,18,1,-8,0,0,MMM,MMM,0,0,0
9,Man United,Newcastle,2,0,H,0,0,0,0,0,0,M,M,M,M,M,M,1,11,1,-10,0,0,MMM,MMM,0,0,0
10,Arsenal,Liverpool,2,0,H,0,1,1,0,0,1.5,L,M,M,W,M,M,2,4,2,-2,-0.5,0.5,LMM,WMM,0,3,-1.5
11,Bradford,Chelsea,2,0,H,0,4,1,2,0,1.5,L,M,M,W,M,M,17,5,2,12,-0.5,1,LMM,WMM,0,3,-1.5
12,Ipswich,Man United,1,1,D,1,2,3,0,0,1.5,L,M,M,W,M,M,18,1,2,17,-1,1,LMM,WMM,0,3,-1.5
13,Middlesbrough,Tottenham,1,1,D,3,3,1,1,1.5,1.5,W,M,M,W,M,M,12,10,2,2,1,1,WMM,WMM,3,3,0
14,Everton,Charlton,3,0,H,0,4,2,0,0,1.5,L,M,M,W,M,M,13,18,2,-5,-1,2,LMM,WMM,0,3,-1.5
15,Man City,Sunderland,4,2,H,0,1,4,0,0,1.5,L,M,M,W,M,M,18,7,2,11,-2,0.5,LMM,WMM,0,3,-1.5
16,Newcastle,Derby,3,2,H,0,2,2,2,0,0.5,L,M,M,D,M,M,11,16,2,-5,-1,0,LMM,DMM,0,1,-0.5
17,Southampton,Coventry,1,2,A,2,1,2,3,0.5,0,D,M,M,L,M,M,15,14,2,1,0,-1,DMM,LMM,1,0,0.5
18,West Ham,Leicester,0,1,A,2,0,4,0,0,0.5,L,M,M,D,M,M,9,8,2,1,-1,0,LMM,DMM,0,1,-0.5
19,Arsenal,Charlton,5,3,H,0,4,1,0,0,1.5,L,M,M,W,M,M,2,18,2,-16,-0.5,2,LMM,WMM,0,3,-1.5
20,Bradford,Leicester,0,0,D,2,1,1,0,1,1.333333333,W,L,M,W,D,M,17,8,3,9,0.333333333,0.333333333,WLM,WDM,3,4,-0.333333333
21,Everton,Derby,2,2,D,3,4,2,5,1,0.333333333,W,L,M,L,D,M,13,16,3,-3,0.333333333,-0.333333333,WLM,LDM,3,1,0.666666667
22,Ipswich,Sunderland,1,0,H,2,3,4,4,0.333333333,1,D,L,M,L,W,M,18,7,3,11,-0.666666667,-0.333333333,DLM,LWM,1,3,-0.666666667
23,Man City,Coventry,1,2,A,4,3,6,4,1,1,W,L,M,W,L,M,18,14,3,4,-0.666666667,-0.333333333,WLM,WLM,3,3,0
24,Middlesbrough,Leeds,1,2,A,4,4,2,1,1.333333333,2,D,W,M,W,W,M,12,3,3,9,0.666666667,1,DWM,WWM,4,6,-0.666666667
25,Newcastle,Tottenham,2,0,H,3,4,4,2,1,1.333333333,W,L,M,D,W,M,11,10,3,1,-0.333333333,0.666666667,WLM,DWM,3,4,-0.333333333
26,Southampton,Liverpool,3,3,D,3,1,4,2,0.333333333,1,L,D,M,L,W,M,15,4,3,11,-0.333333333,-0.333333333,LDM,LWM,1,3,-0.666666667
27,West Ham,Man United,2,2,D,2,3,5,1,0,1.333333333,L,L,M,D,W,M,9,1,3,8,-1,0.666666667,LLM,DWM,0,4,-1.333333333
28,Aston Villa,Chelsea,1,1,D,1,4,1,4,0.666666667,1,D,D,M,L,W,M,6,5,3,1,0,0,DDM,LWM,2,3,-0.333333333
29,Leeds,Man City,1,2,A,4,4,1,6,2,1,W,W,M,W,L,M,3,18,3,-15,1,-0.666666667,WWM,WLM,6,3,1
30,Man United,Bradford,6,0,H,5,2,3,1,1.25,1,D,D,W,D,W,L,1,17,4,-16,0.5,0.25,DDW,DWL,5,4,0.25
31,Sunderland,West Ham,1,1,D,3,4,5,7,0.75,0.25,L,L,W,D,L,L,7,9,4,-2,-0.5,-0.75,LLW,DLL,3,1,0.5
32,Tottenham,Everton,3,2,H,4,5,4,4,1,1,L,D,W,D,W,L,10,13,4,-3,0,0.25,LDW,DWL,4,4,0
33,Charlton,Southampton,1,1,D,7,6,8,7,0.75,0.5,L,L,W,D,L,D,18,15,4,3,-0.25,-0.25,LLW,DLD,3,2,0.25
34,Chelsea,Arsenal,2,2,D,5,7,5,4,1,1.5,D,L,W,W,W,L,5,2,4,3,0,0.75,DLW,WWL,4,6,-0.5
35,Coventry,Newcastle,0,2,A,5,5,5,4,1.5,1.5,W,W,L,W,W,L,14,11,4,3,0,0.25,WWL,WWL,6,6,0
36,Derby,Middlesbrough,3,3,D,6,5,7,4,0.5,1,D,L,D,L,D,W,16,12,4,4,-0.25,0.25,DLD,LDW,2,4,-0.5
37,Leicester,Ipswich,2,1,H,1,3,0,4,1.25,1,D,W,D,W,D,L,8,18,4,-10,0.25,-0.25,DWD,WDL,5,4,0.25
38,Liverpool,Aston Villa,3,1,H,4,2,5,4,1,0.5,D,L,W,L,D,D,4,6,4,-2,-0.25,-0.5,DLW,LDD,4,2,0.5
39,Bradford,Arsenal,1,1,D,2,7,1,4,1,1.5,D,W,L,W,W,L,17,2,4,15,0.25,0.75,DWL,WWL,4,6,-0.5
40,Coventry,Leeds,0,0,D,5,5,7,3,1.2,1.4,L,W,W,D,L,W,14,3,5,11,-0.4,0.4,LWW,DLW,6,4,0.4
41,Ipswich,Aston Villa,1,2,A,4,4,6,5,0.8,1,L,W,D,W,L,D,18,6,5,12,-0.4,-0.2,LWD,WLD,4,4,0
42,Leicester,Southampton,1,0,H,3,7,1,8,1.6,0.6,W,D,W,D,D,L,8,15,5,-7,0.4,-0.2,WDW,DDL,7,2,1
43,Liverpool,Man City,3,2,H,7,7,6,9,1.4,1.2,W,D,L,W,L,W,4,18,5,-14,0.2,-0.4,WDL,WLW,4,6,-0.4
44,Man United,Sunderland,3,0,H,11,4,3,6,1.6,0.8,W,D,D,D,L,L,1,7,5,-6,1.6,-0.4,WDD,DLL,5,1,0.8
45,Middlesbrough,Everton,1,2,A,8,7,7,7,1,0.8,D,L,D,L,D,W,12,13,5,-1,0.2,0,DLD,LDW,2,4,-0.4
46,Newcastle,Chelsea,0,0,D,7,7,4,7,1.8,1,W,W,W,D,D,L,11,5,5,6,0.6,0,WWW,DDL,9,2,1.4
47,Derby,Charlton,2,2,D,9,8,10,9,0.6,0.8,D,D,L,D,L,L,16,18,5,-2,-0.2,-0.2,DDL,DLL,2,1,0.2
48,Tottenham,West Ham,1,0,H,7,5,6,8,1.4,0.4,W,L,D,D,D,L,10,9,5,1,0.2,-0.6,WLD,DDL,4,2,0.4
49,Arsenal,Coventry,2,1,H,9,5,6,7,1.4,1.2,D,W,W,L,W,W,2,14,5,-12,0.6,-0.4,DWW,LWW,7,6,0.2
50,Aston Villa,Bradford,2,0,H,6,3,5,8,1.333333333,0.833333333,W,W,L,D,L,D,6,17,6,-11,0.166666667,-0.833333333,WWL,DLD,6,2,0.666666667
51,Charlton,Tottenham,1,0,H,10,8,11,6,0.833333333,1.666666667,D,D,L,W,W,L,18,10,6,8,-0.166666667,0.333333333,DDL,WWL,2,6,-0.666666667
52,Everton,Man United,1,3,A,9,14,8,3,1.166666667,1.833333333,W,L,D,W,W,D,13,1,6,12,0.166666667,1.833333333,WLD,WWD,4,7,-0.5
53,Leeds,Ipswich,1,2,A,6,5,5,8,1.166666667,0.666666667,L,D,L,L,L,W,3,18,6,-15,0.166666667,-0.5,LDL,LLW,1,3,-0.333333333
54,Southampton,Newcastle,2,0,H,7,7,9,4,0.5,1.666666667,L,D,D,D,W,W,15,11,6,4,-0.333333333,0.5,LDD,DWW,2,7,-0.833333333
55,Sunderland,Derby,2,1,H,4,11,9,12,0.666666667,0.666666667,L,D,L,D,D,D,7,16,6,-9,-0.833333333,-0.166666667,LDL,DDD,1,3,-0.333333333
56,Chelsea,Leicester,0,2,A,7,4,7,1,1,1.833333333,D,D,D,W,W,D,5,8,6,-3,0,0.5,DDD,WWD,3,7,-0.666666667
57,Man City,Middlesbrough,1,1,D,9,9,12,9,1,0.833333333,L,W,L,L,D,L,18,12,6,6,-0.5,0,LWL,LDL,3,1,0.333333333
58,West Ham,Liverpool,1,1,D,5,10,9,8,0.333333333,1.666666667,L,D,D,W,W,D,9,4,6,5,-0.666666667,0.333333333,LDD,WWD,2,7,-0.833333333
59,Bradford,Southampton,0,1,A,3,7,8,9,0.833333333,0.5,D,L,D,L,D,D,17,15,6,2,-0.833333333,-0.333333333,DLD,LDD,2,2,0
60,Coventry,West Ham,0,3,A,6,6,9,10,1,0.428571429,L,D,L,D,L,D,14,9,7,5,-0.428571429,-0.571428571,LDL,DLD,1,2,-0.142857143
61,Derby,Leeds,1,1,D,12,7,14,6,0.571428571,1.142857143,L,D,D,D,L,D,16,3,7,13,-0.285714286,0.142857143,LDD,DLD,2,2,0
62,Ipswich,Arsenal,1,1,D,7,12,9,8,1,1.571428571,W,L,L,W,D,D,18,2,7,16,-0.285714286,0.571428571,WLL,WDD,3,5,-0.285714286
63,Liverpool,Sunderland,1,1,D,11,6,9,10,1.571428571,1,D,W,W,W,L,D,4,7,7,-3,0.285714286,-0.571428571,DWW,WLD,7,4,0.428571429
64,Man United,Chelsea,3,3,D,17,7,4,9,2,0.857142857,W,W,W,L,D,D,1,5,7,-4,1.857142857,-0.285714286,WWW,LDD,9,2,1
65,Middlesbrough,Aston Villa,1,1,D,10,7,10,6,0.857142857,1.285714286,D,L,D,D,W,W,12,6,7,6,0,0.142857143,DLD,DWW,2,7,-0.714285714
66,Newcastle,Charlton,0,1,A,7,11,6,11,1.428571429,1.142857143,L,D,W,W,D,D,11,18,7,-7,0.142857143,0,LDW,WDD,4,5,-0.142857143
67,Tottenham,Man City,0,0,D,8,10,7,13,1.428571429,1,L,W,W,D,L,W,10,18,7,-8,0.142857143,-0.428571429,LWW,DLW,6,4,0.285714286
68,Leicester,Everton,1,1,D,6,10,1,11,2,1,W,W,W,L,W,L,8,13,7,-5,0.714285714,-0.142857143,WWW,LWL,9,3,0.857142857
69,Aston Villa,Derby,4,1,H,7,12,6,14,1.285714286,0.571428571,D,W,W,L,D,D,6,16,7,-10,0.142857143,-0.285714286,DWW,LDD,7,2,0.714285714
70,Charlton,Coventry,2,2,D,12,6,11,12,1.375,0.875,W,W,D,L,L,D,18,14,8,4,0.125,-0.75,WWD,LLD,7,1,0.75
71,Everton,Ipswich,0,3,A,11,8,12,10,1,1,D,L,W,D,W,L,13,18,8,-5,-0.125,-0.25,DLW,DWL,4,4,0
72,Leeds,Tottenham,4,3,H,11,8,9,7,1.375,1.375,W,D,L,D,L,W,3,10,8,-7,0.25,0.125,WDL,DLW,4,4,0
73,Man City,Newcastle,0,1,A,10,7,13,7,1,1.25,D,D,L,L,L,D,18,11,8,7,-0.375,0,DDL,LLD,2,1,0.125
74,Southampton,Middlesbrough,1,3,A,10,11,9,11,1.125,0.875,W,W,L,D,D,L,15,12,8,3,0.125,0,WWL,DDL,6,2,0.5
75,West Ham,Bradford,1,1,D,9,3,10,11,0.75,0.625,W,D,L,L,L,D,9,17,8,-8,-0.125,-1,WDL,LLD,4,1,0.375
76,Arsenal,Man United,1,0,H,13,20,9,7,1.5,1.875,D,W,D,D,W,W,2,1,8,1,0.5,1.625,DWD,DWW,5,7,-0.25
77,Chelsea,Liverpool,3,0,H,10,12,12,10,0.875,1.5,D,L,D,D,D,W,5,4,8,1,-0.25,0.25,DLD,DDW,2,5,-0.375
78,Sunderland,Leicester,0,0,D,7,7,11,2,1,1.875,D,W,L,D,W,W,7,8,8,-1,-0.5,0.625,DWL,DWW,4,7,-0.375
79,Arsenal,Aston Villa,1,0,H,13,11,9,7,1.5,1.5,D,W,D,W,D,W,2,6,8,-4,0.5,0.5,DWD,WDW,5,7,-0.25
80,Coventry,Tottenham,2,1,H,8,11,14,11,0.888888889,1.222222222,D,L,L,L,D,L,14,10,9,4,-0.666666667,0,DLL,LDL,1,1,0
81,Everton,Southampton,1,1,D,11,11,15,12,0.888888889,1,L,D,L,L,W,W,13,15,9,-2,-0.444444444,-0.111111111,LDL,LWW,1,6,-0.555555556
82,Ipswich,West Ham,1,1,D,11,10,10,11,1.222222222,0.777777778,W,D,W,D,W,D,18,9,9,9,0.111111111,-0.111111111,WDW,DWD,7,5,0.222222222
83,Leeds,Charlton,3,1,H,14,14,10,13,1.555555556,1.333333333,W,W,D,D,W,W,3,18,9,-15,0.444444444,0.111111111,WWD,DWW,7,7,0
84,Leicester,Man United,0,3,A,7,20,2,8,1.777777778,1.666666667,D,D,W,L,D,W,8,1,9,7,0.555555556,1.333333333,DDW,LDW,5,4,0.111111111
85,Man City,Bradford,2,0,H,10,4,14,12,0.888888889,0.666666667,L,D,D,D,L,L,18,17,9,1,-0.444444444,-0.888888889,LDD,DLL,2,1,0.111111111
86,Sunderland,Chelsea,1,0,H,7,13,11,12,1,1.111111111,D,D,W,W,D,L,7,5,9,2,-0.444444444,0.111111111,DDW,WDL,5,4,0.111111111
87,Derby,Liverpool,0,4,A,14,12,19,13,0.555555556,1.333333333,L,D,L,L,D,D,16,4,9,12,-0.555555556,-0.111111111,LDL,LDD,1,2,-0.111111111
88,Middlesbrough,Newcastle,1,3,A,14,8,12,7,1.111111111,1.444444444,W,D,D,W,L,L,12,11,9,1,0.222222222,0.111111111,WDD,WLL,5,3,0.222222222
89,Bradford,Ipswich,0,2,A,4,11,12,10,0.666666667,1.222222222,D,L,L,W,D,W,17,18,9,-1,-0.888888889,0.111111111,DLL,WDW,1,7,-0.666666667
90,Charlton,Middlesbrough,1,0,H,15,15,16,15,1.2,1,L,D,W,L,W,D,18,12,10,6,-0.1,0,LDW,LWD,4,4,0
91,Chelsea,Coventry,6,1,H,13,10,13,15,1,1.1,L,W,D,W,D,L,5,14,10,-9,0,-0.5,LWD,WDL,4,4,0
92,Liverpool,Leicester,1,0,H,16,7,13,5,1.5,1.6,W,L,D,L,D,D,4,8,10,-4,0.3,0.2,WLD,LDD,4,2,0.2
93,Man United,Leeds,3,0,H,23,14,8,13,1.8,1.4,W,L,D,L,W,W,1,3,10,-2,1.5,0.1,WLD,LWW,4,6,-0.2
94,Newcastle,Everton,0,1,A,11,12,8,16,1.6,0.9,W,W,L,D,L,D,11,13,10,-2,0.3,-0.4,WWL,DLD,6,2,0.4
95,Tottenham,Derby,3,1,H,12,14,13,23,1.1,0.5,L,L,D,L,L,D,10,16,10,-6,-0.1,-0.9,LLD,LLD,1,1,0
96,West Ham,Arsenal,1,2,A,11,15,12,9,0.8,1.8,D,D,W,W,W,D,9,2,10,7,-0.1,0.6,DDW,WWD,5,7,-0.2
97,Aston Villa,Sunderland,0,0,D,11,8,8,11,1.3,1.2,D,L,W,W,D,D,6,7,10,-1,0.3,-0.3,DLW,WDD,4,5,-0.1
98,Southampton,Man City,0,2,A,12,12,13,14,1,1.1,D,L,W,W,L,D,15,18,10,-3,-0.1,-0.2,DLW,WLD,4,4,0
99,Arsenal,Man City,5,0,H,15,12,9,14,1.8,1.1,W,W,D,W,L,D,2,18,10,-16,0.6,-0.2,WWD,WLD,7,4,0.3
100,Aston Villa,Charlton,2,1,H,13,16,9,16,1.454545455,1.363636364,W,D,L,W,L,D,6,18,11,-12,0.363636364,0,WDL,WLD,4,4,0
101,Chelsea,Tottenham,3,0,H,19,15,14,14,1.181818182,1.272727273,W,L,W,W,L,L,5,10,11,-5,0.454545455,0.090909091,WLW,WLL,6,3,0.272727273
102,Ipswich,Middlesbrough,2,1,H,14,15,11,16,1.363636364,0.909090909,W,D,W,L,L,W,18,12,11,6,0.272727273,-0.090909091,WDW,LLW,7,3,0.363636364
103,Leicester,Derby,2,1,H,7,15,6,26,1.454545455,0.454545455,L,L,D,L,L,L,8,16,11,-8,0.090909091,-1,LLD,LLL,1,0,0.090909091
104,Man United,Southampton,5,0,H,26,12,8,15,1.909090909,0.909090909,W,W,L,L,D,L,1,15,11,-14,1.636363636,-0.272727273,WWL,LDL,6,1,0.454545455
105,Sunderland,Coventry,1,0,H,8,11,11,21,1.181818182,1,D,W,D,L,W,D,7,14,11,-7,-0.272727273,-0.909090909,DWD,LWD,5,4,0.090909091
106,West Ham,Newcastle,1,0,H,12,11,14,9,0.727272727,1.454545455,L,D,D,L,W,W,9,11,11,-2,-0.181818182,0.181818182,LDD,LWW,2,6,-0.363636364
107,Bradford,Leeds,1,1,D,4,15,16,14,0.545454545,1.363636364,L,L,D,D,L,W,17,3,11,14,-1.090909091,0.090909091,LLD,DLW,1,4,-0.272727273
108,Liverpool,Everton,3,1,H,17,13,13,16,1.636363636,1.090909091,W,W,L,W,D,L,4,13,11,-9,0.363636364,-0.272727273,WWL,WDL,6,4,0.181818182
109,Charlton,Bradford,2,0,H,16,4,16,16,1.363636364,0.545454545,W,L,D,L,L,D,18,17,11,1,0,-1.090909091,WLD,LLD,4,1,0.272727273
110,Coventry,Man United,1,2,A,11,31,22,8,0.916666667,2,L,L,W,W,W,W,14,1,12,13,-0.916666667,1.916666667,LLW,WWW,3,9,-0.5
111,Leeds,Liverpool,4,3,H,19,20,17,14,1.5,1.75,W,D,L,W,W,W,3,4,12,-1,0.166666667,0.5,WDL,WWW,4,9,-0.416666667
112,Man City,Leicester,0,1,A,14,9,19,7,1.166666667,1.583333333,L,W,W,W,L,L,18,8,12,10,-0.416666667,0.166666667,LWW,WLL,6,3,0.25
113,Middlesbrough,Arsenal,0,1,A,16,22,18,10,0.833333333,2,L,L,L,W,W,W,12,2,12,10,-0.166666667,1,LLL,WWW,0,9,-0.75
114,Newcastle,Ipswich,2,1,H,11,16,10,12,1.333333333,1.5,L,L,W,W,W,D,11,18,12,-7,0.083333333,0.333333333,LLW,WWD,3,7,-0.333333333
115,Southampton,Chelsea,3,2,H,12,22,20,14,0.833333333,1.333333333,L,L,D,W,W,L,15,5,12,10,-0.666666667,0.666666667,LLD,WWL,1,6,-0.416666667
116,Tottenham,Sunderland,2,1,H,15,9,17,11,1.166666667,1.333333333,L,W,L,W,D,W,10,7,12,3,-0.166666667,-0.166666667,LWL,WDW,3,7,-0.333333333
117,Everton,Aston Villa,0,1,A,14,14,19,9,1,1.583333333,L,W,D,W,W,D,13,6,12,7,-0.416666667,0.416666667,LWD,WWD,4,7,-0.25
118,Derby,West Ham,0,0,D,16,13,28,14,0.416666667,0.916666667,L,L,L,W,L,D,16,9,12,7,-1,-0.083333333,LLL,WLD,0,4,-0.333333333
119,Arsenal,Derby,0,0,D,22,16,10,28,2,0.416666667,W,W,W,L,L,L,2,16,12,-14,1,-1,WWW,LLL,9,0,0.75
120,Aston Villa,Tottenham,2,0,H,16,17,9,18,1.692307692,1.307692308,W,W,W,W,L,W,6,10,13,-4,0.538461538,-0.076923077,WWW,WLW,9,6,0.230769231
121,Bradford,Everton,0,1,A,5,14,19,20,0.538461538,0.923076923,L,D,L,L,L,W,17,13,13,4,-1.076923077,-0.461538462,LDL,LLW,1,3,-0.153846154
122,Ipswich,Charlton,2,0,H,17,19,14,18,1.384615385,1.384615385,L,W,W,W,L,W,18,18,13,0,0.230769231,0.076923077,LWW,WLW,6,6,0
123,Leicester,Newcastle,1,1,D,10,13,7,11,1.692307692,1.461538462,W,W,L,W,L,L,8,11,13,-3,0.230769231,0.153846154,WWL,WLL,6,3,0.230769231
124,Man United,Middlesbrough,2,1,H,33,16,9,19,2.076923077,0.769230769,W,W,W,L,L,L,1,12,13,-11,1.846153846,-0.230769231,WWW,LLL,9,0,0.692307692
125,Sunderland,Southampton,2,2,D,10,15,13,22,1.230769231,1,L,W,D,W,L,L,7,15,13,-8,-0.230769231,-0.538461538,LWD,WLL,4,3,0.076923077
126,West Ham,Man City,4,1,H,13,14,14,20,0.923076923,1.076923077,D,W,L,L,L,W,9,18,13,-9,-0.076923077,-0.461538462,DWL,LLW,4,3,0.076923077
127,Chelsea,Leeds,1,1,D,24,20,17,18,1.230769231,1.461538462,L,W,W,D,W,D,5,3,13,2,0.538461538,0.153846154,LWW,DWD,6,5,0.076923077
128,Liverpool,Coventry,4,1,H,23,12,18,24,1.615384615,0.846153846,L,W,W,L,L,L,4,14,13,-10,0.384615385,-0.923076923,LWW,LLL,6,0,0.461538462
129,Charlton,Chelsea,2,0,H,19,24,18,17,1.384615385,1.230769231,W,L,W,L,W,W,18,5,13,13,0.076923077,0.538461538,WLW,LWW,6,6,0
130,Derby,Bradford,2,0,H,16,5,28,20,0.5,0.5,D,D,L,L,L,D,16,17,14,-1,-0.857142857,-1.071428571,DDL,LLD,2,1,0.071428571
131,Everton,Arsenal,2,0,H,15,23,20,10,1.071428571,2,W,L,L,D,W,W,13,2,14,11,-0.357142857,0.928571429,WLL,DWW,3,7,-0.285714286
132,Leeds,West Ham,0,1,A,20,17,19,15,1.357142857,1.071428571,L,D,W,W,D,W,3,9,14,-6,0.071428571,0.142857143,LDW,WDW,4,7,-0.214285714
133,Man City,Man United,0,1,A,15,35,24,10,1,2.142857143,L,L,L,W,W,W,18,1,14,17,-0.642857143,1.785714286,LLL,WWW,0,9,-0.642857143
134,Middlesbrough,Leicester,0,3,A,17,11,21,8,0.714285714,1.642857143,L,L,L,D,W,W,12,8,14,4,-0.285714286,0.214285714,LLL,DWW,0,7,-0.5
135,Newcastle,Sunderland,1,2,A,14,12,12,15,1.428571429,1.214285714,D,W,L,D,L,W,11,7,14,4,0.142857143,-0.214285714,DWL,DLW,4,4,0
136,Southampton,Aston Villa,2,0,H,17,16,24,11,1,1.571428571,D,W,L,L,W,W,15,6,14,9,-0.5,0.357142857,DWL,LWW,4,6,-0.142857143
137,Tottenham,Liverpool,2,1,H,17,27,20,19,1.214285714,1.714285714,L,W,L,W,L,W,10,4,14,6,-0.214285714,0.571428571,LWL,WLW,3,6,-0.214285714
138,Coventry,Ipswich,0,1,A,13,19,28,14,0.785714286,1.5,L,L,L,W,L,W,14,18,14,-4,-1.071428571,0.357142857,LLL,WLW,0,6,-0.428571429
139,Charlton,Sunderland,0,1,A,19,12,20,15,1.285714286,1.214285714,L,W,L,D,L,W,18,7,14,11,-0.071428571,-0.214285714,LWL,DLW,3,4,-0.071428571
140,Coventry,Aston Villa,1,1,D,13,17,29,12,0.733333333,1.533333333,L,L,L,D,L,W,14,6,15,8,-1.066666667,0.333333333,LLL,DLW,0,4,-0.266666667
141,Derby,Man United,0,3,A,18,36,28,10,0.666666667,2.2,W,D,D,W,W,W,16,1,15,15,-0.666666667,1.733333333,WDD,WWW,5,9,-0.266666667
142,Everton,Chelsea,2,1,H,17,25,20,20,1.2,1.133333333,W,W,L,L,D,L,13,5,15,8,-0.2,0.333333333,WWL,LDL,6,1,0.333333333
143,Man City,Ipswich,2,3,A,15,20,25,14,0.933333333,1.6,L,L,L,W,W,L,18,18,15,0,-0.666666667,0.4,LLL,WWL,0,6,-0.4
144,Middlesbrough,Bradford,2,2,D,17,5,24,22,0.666666667,0.466666667,L,L,L,L,L,L,12,17,15,-5,-0.466666667,-1.133333333,LLL,LLL,0,0,0
145,Southampton,West Ham,2,3,A,19,18,24,15,1.133333333,1.2,W,D,W,W,W,D,15,9,15,6,-0.333333333,0.2,WDW,WWD,7,7,0
146,Tottenham,Leicester,3,0,H,19,14,21,8,1.333333333,1.733333333,W,L,W,W,D,W,10,8,15,2,-0.133333333,0.4,WLW,WDW,6,7,-0.066666667
147,Leeds,Arsenal,1,0,H,21,23,19,12,1.466666667,1.866666667,W,L,D,L,D,W,3,2,15,1,0.133333333,0.733333333,WLD,LDW,4,4,0
148,Newcastle,Liverpool,2,1,H,15,28,14,21,1.333333333,1.6,L,D,W,L,W,L,11,4,15,7,0.066666667,0.466666667,LDW,LWL,4,3,0.066666667
149,Arsenal,Southampton,1,0,H,23,19,12,24,1.866666667,1.133333333,L,D,W,W,D,W,2,15,15,-13,0.733333333,-0.333333333,LDW,WDW,4,7,-0.2
150,Aston Villa,Newcastle,1,1,D,18,17,13,15,1.5,1.4375,D,D,L,W,L,D,6,11,16,-5,0.3125,0.125,DDL,WLD,2,4,-0.125
151,Bradford,Coventry,2,1,H,7,14,24,30,0.5,0.75,D,L,L,D,L,L,17,14,16,3,-1.0625,-1,DLL,DLL,1,1,0
152,Ipswich,Derby,0,1,A,23,18,16,31,1.6875,0.625,W,W,W,L,W,D,18,16,16,2,0.4375,-0.8125,WWW,LWD,9,4,0.3125
153,Leicester,Leeds,3,1,H,14,22,11,22,1.625,1.375,L,W,D,L,W,L,8,3,16,5,0.1875,0,LWD,LWL,4,3,0.0625
154,Liverpool,Charlton,3,0,H,29,21,23,21,1.5,1.3125,L,L,W,L,W,L,4,18,16,-14,0.375,0,LLW,LWL,3,3,0
155,Man United,Tottenham,2,0,H,39,22,10,21,2.25,1.4375,W,W,W,W,W,L,1,10,16,-9,1.8125,0.0625,WWW,WWL,9,6,0.1875
156,West Ham,Middlesbrough,1,0,H,21,19,17,26,1.3125,0.6875,W,W,W,D,L,L,9,12,16,-3,0.25,-0.4375,WWW,DLL,9,1,0.5
157,Chelsea,Man City,2,1,H,26,17,22,28,1.0625,0.875,L,L,D,L,L,L,5,18,16,-13,0.25,-0.6875,LLD,LLL,1,0,0.0625
158,Sunderland,Everton,2,0,H,15,19,16,21,1.4375,1.3125,W,W,D,W,W,W,7,13,16,-6,-0.0625,-0.125,WWD,WWW,7,9,-0.125
159,Arsenal,Newcastle,5,0,H,23,17,13,15,1.75,1.4375,L,L,D,W,L,D,2,11,16,-9,0.625,0.125,LLD,WLD,1,4,-0.1875
160,Bradford,Tottenham,3,3,D,9,22,25,23,0.647058824,1.352941176,W,D,L,L,W,W,17,10,17,7,-0.941176471,-0.058823529,WDL,LWW,4,6,-0.117647059
161,Charlton,Man United,3,3,D,21,41,24,10,1.235294118,2.294117647,L,L,W,W,W,W,18,1,17,17,-0.176470588,1.823529412,LLW,WWW,3,9,-0.352941176
162,Chelsea,Derby,4,1,H,28,19,23,31,1.176470588,0.764705882,W,L,L,W,L,W,5,16,17,-11,0.294117647,-0.705882353,WLL,WLW,3,6,-0.176470588
163,Man City,Everton,5,0,H,18,19,30,23,0.823529412,1.235294118,L,L,L,L,W,W,18,13,17,5,-0.705882353,-0.235294118,LLL,LWW,0,6,-0.352941176
164,Southampton,Leeds,1,0,H,21,22,28,23,1,1.294117647,L,L,W,L,L,W,15,3,17,12,-0.411764706,-0.058823529,LLW,LLW,3,3,0
165,Sunderland,Middlesbrough,1,0,H,17,19,16,27,1.529411765,0.647058824,W,W,W,L,D,L,7,12,17,-5,0.058823529,-0.470588235,WWW,LDL,9,1,0.470588235
